Library name,Address 1,Address 2,Address 3,Postcode,URL
Stonehouse Library,2 Udston Mill Road,,Stonehouse,ML9 3JL,http://www.slleisureandculture.co.uk/info/94/stonehouse_library
Stornoway Library,19 Cromwell Street ,,Stornoway ,HS1 2DA,http://www.cne-siar.gov.uk/library/libraries/stornoway.asp
Stranraer Library & Customer Service Centre,North Strand Street,,Stranraer,DG9 7LD,http://www.dumgal.gov.uk/article/15586/DG-Customer-Services---Stranraer
Strathaven Library,Glasgow Road,,Strathaven,ML10 6LZ,http://www.slleisureandculture.co.uk/info/95/strathaven_library
Strathblane Library,Kirkburn Road,,Strathblane,G63 9ED,http://my.stirling.gov.uk/facilities/view/80
Strathearn Community Library,Strathearn Community Campus,,Pittenzie Road,PH7 3JN,http://www.culturepk.org.uk/your-local-library/strathearn-community-library/
Strichen Library ,59a Water Street ,,Fraserburgh,AB43 6ST,https://www.aberdeenshire.gov.uk/libraries/
Stromness Library,Warehouse Buildings ,,2 -12 Victoria Street,KW16 3AA,http://www.orkneylibrary.org.uk/html/stromlibrary.htm
Symington Library,Brewlands Road,,Symington,KA1 5QZ,https://www.south-ayrshire.gov.uk/libraries/branches/symington-library.aspx
Tain Library,Stafford St,,Tain,IV19 1AZ,https://www.highlifehighland.com/libraries/tain-library/
Tarbert Library,Harbour Street ,,Tarbert,PA29 6UA,https://www.argyll-bute.gov.uk/library/tarbert-library
Tarbert Library,Sir E. Scott School,,Tarbert,HS3 3BG,http://www.cne-siar.gov.uk/library/libraries/tarbert.asp
Tarbolton Library,Tarbolton Community Campus ,,Montgomerie Street,KA5 5QA,https://www.south-ayrshire.gov.uk/libraries/branches/tarbolton-library.aspx
Tayport Library,Municipal Buildings,,17 Queen Street,DD6 9JY,http://onfife.com/venues/tayport-library
Templehall Library,Beauly Place,,Kirkcaldy ,KY2 6EX,http://onfife.com/venues/templehall-library
Thornhill LIbrary,Townhead Street,,Thornhill,DG3 5NW,https://www.dumgal.gov.uk/article/15583/DG-Customer-Services-Thornhill
Thornliebank Library,1 Spiersbridge Road,,Thornliebank,G46 7JS,http://www.ercultureandleisure.org/thornliebanklibrary
Thurso Library,Davidson's Lane,,Thurso ,KW14 7AF,https://www.highlifehighland.com/libraries/thurso-library/
Tillicoultry Ben Cleuch Centre,Ben Cleuch Centre ,,Park Street,FK13 6AG,http://www.clacksweb.org.uk/culture/tillicoultrycap/
Tillydrone Library,Pennan Road,,Aberdeen,AB24 2UD,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Tiree Library,Cornaig,,Isle of Tiree,PA77 6XA,https://liveargyll.co.uk/facility/tiree-library/
Tobermory Library,Tobermory High School ,,Isle of Mull,PA75 6PB,https://liveargyll.co.uk/facility/tobermory-library/
Tomintoul Library,Tomintoul Primary School  ,,Cults Drive,AB37 9HA,http://www.moray.gov.uk/moray_standard/page_39973.html
Torry Library,Victoria Road,,Aberdeen,AB11 9NJ,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Tranent Library,Tranent Library and Local Office The George Johnstone Centre ,,35 Winton Place,EH33 1AE,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/14
Troon Library,5 South Beach,,Troon,KA10 6EF,https://www.south-ayrshire.gov.uk/libraries/branches/troon-library.aspx
Tullibody Library,Tullibody Civic Centre,,Abercromby Place,FK10 2RS,http://www.clacksweb.org.uk/culture/tullibodylibrary/
Turriff Library,Grange Villa ,,The Square,AB53 4AE,https://www.aberdeenshire.gov.uk/libraries/
Uddingston Library,51 Bellshill Road,,Uddingston,G71 7PA,http://www.slleisureandculture.co.uk/info/97/uddingston_library
Ullapool Community Library,Mill Street,,Ullapool,IV26 2UN,https://www.highlifehighland.com/libraries/ullapool-community-library/
Uplawmoor Library,Mure Hall,,Tannoch Road,G78 4AD,http://www.ercultureandleisure.org/uplawmoorlibrary
Valleyfield Library,Valleyfield Community Centre,,Abbey Street,KY12 8UA,http://onfife.com/venues/valleyfield-library
Viewpark Library,Burnhead Street,,Viewpark,G71 5AT,https://culturenl.co.uk/libraries/your-library/viewpark-library/
Waid Community Campus,St Andrews Road ,,Anstruther,KY10 3GY,http://onfife.com/venues/waid-library
Wallyford Library,Future's Way ,,Wallyford,EH21 8FF,http://www.eastlothian.gov.uk/info/200259/your_local_library/486/local_libraries_in_east_lothian/15
West Calder Library,Main Street,,West Calder ,EH55 8BQ,https://www.westlothian.gov.uk/article/2254/West-Calder-Library
West Kilbride Library,Halfway Street,,West Kilbride,KA23 9EQ,http://www.geo.north-ayrshire.gov.uk/CouncilBuildingsPublic/BuildingDetails.aspx?BuildingRef=10000093
West Lothian College Library,Almondvale Crescent ,,Livingston ,EH54 7EP,https://www.westlothian.gov.uk/article/2866/West-Lothian-College-Library
Wester Hailes Library,1 West Side Plaza,,Edinburgh,EH14 2ST,https://www.edinburgh.gov.uk/directory_record/5078/wester_hailes_library
Westerton Library,82 Maxwell Avenue,,Bearsden,G61 1NZ,http://www.edlc.co.uk/libraries/your-local-library/westerton
Westhill Library,Westhill Drive,,Westhill ,AB32 6FY,https://www.aberdeenshire.gov.uk/libraries/
Whattriggs Community Library,Whattriggs Primary School,,Kilmarnock,KA1 3RB,https://eastayrshireleisure.com/index.php?a=venuedetail&id=6&venueid=40
Whitburn Library,Union Road,,Whitburn,EH47 0AR,https://www.westlothian.gov.uk/article/2261/Whitburn-Library
Whitehills Library,Loch Street,,Whitehills,AB45 2LT,https://www.aberdeenshire.gov.uk/libraries/
Whiteinch Library,14 Victoria Park Drive South,,Glasgow ,G14 9RL,http://www.glasgowlife.org.uk/libraries/your-local-library/whiteinch-library/Pages/home.aspx
Whithorn Library,St John's Street,,Whithorn,DG8 8PF,http://www.dumgal.gov.uk/article/15587/DG-Customer-Services---Whithorn
Whittfield Community Library,The Crescent ,,71 Lothian Crescent ,DD4 0HU,http://www.leisureandculturedundee.com/whitfield-community-library
Wick Library,7 Newton Road ,,Wick,KW1 5SA,https://www.highlifehighland.com/libraries/wick-library/
"Wigtown, John McNellie Library",Wigtown County Buildings,,Wigtown,DG8 9JH,http://www.dumgal.gov.uk/article/15588/DG-Customer-Services---John-McNellie-Library-Wigtown
William Patrick Library,2-4 West high Street ,,Kirkintilloch,G66 1AD,http://www.edlc.co.uk/libraries/your-local-library/william-patrick
Windmill LIbrary,Windmill Road,,Kirkcaldy,KY1 3AL,http://onfife.com/venues/windmill-library
Wishaw Library,The Houldsworth Centre,,Wishaw ,ML2 7LP,https://culturenl.co.uk/libraries/your-library/wishaw-library/
Woodside Library,343 St Georges Road,,Glasgow,G3 6JQ,http://www.glasgowlife.org.uk/libraries/your-local-library/woodside-library/Pages/home.aspx
Woodside Library ,Clifton Road,,Aberdeen,AB15 7RF,http://www.aberdeencity.gov.uk/Library_Service/Libraries_Menu.asp
Yell Community Library,Mid Yell Junior High School ,,Mid Yell,ZE2 9BN,http://www.shetland-library.gov.uk/OpeningHours.asp
